,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果
484,2018秋冬新款加绒牛仔裤女休闲加厚保暖长裤f125,女装,裤子,牛仔裤,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '牛仔裤', '长裤'], 'nr': ['加绒', '加厚'], 'b': ['女'], 'v': ['休闲', '保暖'], 'eng': ['f125']}","['裤子', '裤子']",裤子
485,2018秋冬新款加绒蕾丝衫钉珠加厚保暖韩版小衫女,女装,上衣,小衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '蕾丝衫', '钉珠', '小衫'], 'nr': ['加绒', '加厚'], 'v': ['保暖'], 'nt': ['韩版'], 'b': ['女']}","['上衣', '上衣']",上衣
486,2018秋冬新款半高领纯色打底衫仿水貂绒套头针织衫ins超火毛衣女b152,女装,上衣,打底衫,"{'m': ['2018', '半'], 't': ['秋冬'], 'n': ['新款', '高领', '纯色', '打底衫', '水貂绒', '套头', '针织衫', '毛衣', '女'], 'd': ['仿'], 'eng': ['ins', 'b152'], 'v': ['超火']}","['上衣', '上衣', '上衣']",上衣
487,2018秋冬新款半高领针织衫套头毛衣女短款宽松长袖百搭打底衫,女装,上衣,打底衫,"{'m': ['2018', '半', '百'], 't': ['秋冬'], 'n': ['新款', '高领', '针织衫', '套头毛衣', '长袖', '打底衫'], 'b': ['女', '短款'], 'a': ['宽松'], 'v': ['搭']}","['上衣', '上衣', '其它', '上衣']",上衣
488,2018秋冬新款圆领卡通小鹿毛衣女外套韩版套头长袖百搭针织打底衫,女装,上衣,打底衫,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '圆领', '毛衣', '外套', '套头', '长袖', '针织', '打底衫'], 'nz': ['卡通'], 'nr': ['小鹿'], 'b': ['女'], 'nt': ['韩版'], 'v': ['搭']}","['上衣', '外套', '其它', '上衣']",上衣
489,2018秋冬新款坠感灯芯绒微喇叭裤女高腰阔腿裤直筒条绒裤子z275,女装,裤子,阔腿裤,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '灯芯绒', '微', '喇叭裤', '腰', '阔腿裤', '直筒', '条绒', '裤子'], 'v': ['坠', '感'], 'b': ['女'], 'a': ['高'], 'eng': ['z275']}","['裤子', '裤子']",裤子
490,2018秋冬新款坠感灯芯绒微喇叭裤女高腰阔腿裤直筒条绒裤子【DB】f233,女装,裤子,阔腿裤,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '灯芯绒', '微', '喇叭裤', '腰', '阔腿裤', '直筒', '条绒', '裤子'], 'v': ['坠', '感'], 'b': ['女'], 'a': ['高', 'DB'], 'eng': ['f233']}","['裤子', '裤子']",裤子
491,2018秋冬新款堆堆领套头毛衣女韩版短款女士修身针织打【两件装】,女装,上衣,毛衣,"{'m': ['2018', '两件'], 't': ['秋冬'], 'n': ['新款', '堆堆', '套头毛衣', '版', '女士', '修身', '针织'], 'v': ['领', '打', '装'], 'b': ['女', '短款'], 'j': ['韩']}",['上衣'],上衣
492,2018秋冬新款复古民族风重工刺绣提花长款风衣外套女,女装,外套,风衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '刺绣', '长款', '风衣', '外套'], 'vn': ['复古', '重工'], 'nz': ['民族风'], 'v': ['提花'], 'b': ['女']}","['外套', '外套']",外套
493,2018秋冬新款大手提包女包时尚休闲百搭女士单肩斜跨字母包h548,女装,包包,手提包,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '手提包', '女包', '时尚', '女士', '单肩', '字母'], 'a': ['大'], 'v': ['休闲', '搭', '斜', '跨', '包'], 'eng': ['h548']}","['包包', '包包']",包包
494,2018秋冬新款大码女装修身显瘦拼接加绒长袖中长款包臀连衣裙女,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '大码', '女装', '修身', '长袖', '连衣裙'], 'a': ['显瘦'], 'v': ['拼接', '包'], 'nr': ['加绒'], 'j': ['中长款'], 'ng': ['臀'], 'b': ['女']}","['其它', '连衣裙']",连衣裙
495,2018秋冬新款大码女装加厚保暖不倒绒休闲套装两件套,女装,套装,套装,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '大码', '女装', '绒', '套装', '两件套'], 'nr': ['加厚'], 'v': ['保暖', '倒', '休闲'], 'd': ['不']}","['套装', '套装']",套装
496,2018秋冬新款大码女装胖mm加绒加厚中长款宽松遮肚子连衣裙减龄打底裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '大码', '女装', '胖', '肚子', '连衣裙', '打底裙'], 'eng': ['mm'], 'nr': ['加绒', '加厚'], 'j': ['中长款'], 'a': ['宽松'], 'v': ['遮', '减龄']}","['连衣裙', '连衣裙']",连衣裙
497,2018秋冬新款大码女装胖mm遮肚绣花风衣薄外套,女装,外套,风衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '大码', '女装', '胖', '肚', '绣花', '风衣', '外套'], 'eng': ['mm'], 'v': ['遮'], 'a': ['薄']}","['外套', '外套']",外套
498,2018秋冬新款大码格子加厚长袖宽松显瘦高领中长款毛呢裙,女装,裙子,裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '大码', '格子', '长袖', '领中', '长款', '毛呢', '裙'], 'nr': ['加厚'], 'a': ['宽松', '瘦高'], 'v': ['显']}","['其它', '裙子']",裙子
499,2018秋冬新款大码直筒宽松保暖衣中长款加绒加厚蕾丝打底衫,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '大码', '直筒', '长款', '加绒', '蕾丝', '打底衫'], 'a': ['宽松'], 'v': ['保暖'], 'ng': ['衣'], 'f': ['中'], 'nr': ['加厚']}",['上衣'],上衣
500,2018秋冬新款套头半高领拼色宽松长袖韩版毛衣针织衫女z265,女装,上衣,针织衫,"{'m': ['2018', '半'], 't': ['秋冬'], 'n': ['新款', '套头', '高领', '拼色', '长袖', '毛衣', '针织衫', '女'], 'a': ['宽松'], 'nt': ['韩版'], 'eng': ['z265']}","['其它', '上衣', '上衣']",上衣
501,2018秋冬新款套头毛衣女时尚短款修身针织打底衫【DB】g214,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '套头毛衣', '时尚', '修身', '针织', '打底衫'], 'b': ['女', '短款'], 'a': ['DB'], 'eng': ['g214']}","['上衣', '上衣']",上衣
502,2018秋冬新款套头毛衣女时尚短款修身针织羊绒打底衫【DB】g214,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '套头毛衣', '时尚', '修身', '针织', '羊绒', '打底衫'], 'b': ['女', '短款'], 'a': ['DB'], 'eng': ['g214']}","['上衣', '上衣']",上衣
503,2018秋冬新款女装a字红色气质针织连衣裙过膝毛衣裙子长裙【DB】g262,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女装', '字', '红色', '气质', '针织', '连衣裙', '毛衣', '裙子', '长裙'], 'eng': ['a', 'g262'], 'v': ['过膝'], 'a': ['DB']}","['连衣裙', '上衣', '裙子']",裙子
504,2018秋冬新款女装中长休闲毛呢外套女韩版宽松呢子大衣f784,女装,外套,大衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女装', '毛呢', '外套', '版'], 'f': ['中'], 'a': ['长', '宽松'], 'v': ['休闲'], 'b': ['女'], 'j': ['韩'], 'nz': ['呢子大衣'], 'eng': ['f784']}",['外套'],外套
505,2018秋冬新款女装中长休闲毛呢外套女韩版宽松呢子大衣h153,女装,外套,大衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女装', '毛呢', '外套', '版'], 'f': ['中'], 'a': ['长', '宽松'], 'v': ['休闲'], 'b': ['女'], 'j': ['韩'], 'nz': ['呢子大衣'], 'eng': ['h153']}",['外套'],外套
506,2018秋冬新款女装中长款蕾丝拼接金丝绒连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女装', '蕾丝', '连衣裙'], 'j': ['中长款'], 'v': ['拼接'], 'nr': ['金丝绒']}",['连衣裙'],连衣裙
507,2018秋冬新款女装气质高贵针织连衣裙过膝毛衣裙长裙【DB】f318,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女装', '气质', '针织', '连衣裙', '衣裙', '长裙'], 'a': ['高贵', 'DB'], 'v': ['过膝'], 'nr': ['毛'], 'eng': ['f318']}",['连衣裙'],连衣裙
508,2018秋冬新款女装针织连衣裙长款过膝加厚打底毛衣裙子长裙【DB】f336,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女装', '针织', '连衣裙', '长款', '打底', '毛衣', '裙子', '长裙'], 'v': ['过膝'], 'nr': ['加厚'], 'a': ['DB'], 'eng': ['f336']}","['连衣裙', '其它', '上衣', '裙子']",裙子
509,2018秋冬新款女装韩版套头毛衣长袖纯色短款打底衫【DB】f118,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女装', '套头毛衣', '长袖', '纯色', '打底衫'], 'nt': ['韩版'], 'b': ['短款'], 'a': ['DB'], 'eng': ['f118']}","['上衣', '其它', '上衣']",上衣
510,2018秋冬新款女贵夫人过膝连衣裙冬季加绒打底裙中长款【DM】,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬', '冬季'], 'n': ['新款', '贵', '夫人', '连衣裙', '打底裙'], 'b': ['女'], 'v': ['过膝'], 'nr': ['加绒'], 'j': ['中长款'], 'ad': ['DM']}","['连衣裙', '连衣裙']",连衣裙
511,2018秋冬新款女靴子甜美珍珠高等磨砂绒裸靴OL女式短靴细超高跟鞋,女装,鞋,高跟鞋,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '靴子', '珍珠', '磨砂', '绒', '女式', '短靴', '高跟鞋'], 'b': ['女', '高等'], 'a': ['甜美', '细'], 'ag': ['裸'], 'ng': ['靴'], 'eng': ['OL'], 'v': ['超']}","['鞋', '鞋', '鞋', '鞋']",鞋
512,2018秋冬新款子母包大包手提包潮女士单肩女包大容量高端时尚手袋YWDF-3,女装,包包,手提包,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '子母包', '大包', '手提包', '潮', '女士', '单肩', '女包', '大容量', '高端', '时尚', '手袋'], 'eng': ['YWDF3']}","['包包', '包包', '包包']",包包
513,2018秋冬新款宽松气质变色龙过膝长款风衣外套潮,女装,外套,风衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '气质', '变色龙', '长款', '风衣', '外套', '潮'], 'a': ['宽松'], 'v': ['过膝']}","['外套', '外套']",外套
514,2018秋冬新款尖头欧美时尚百搭短靴女侧拉链粗跟高跟马丁靴女靴子b170,女装,鞋,短靴,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '尖头', '时尚', '短靴', '女侧', '拉链', '马丁靴', '靴子'], 'ns': ['欧美'], 'v': ['搭', '跟高'], 'a': ['粗'], 'p': ['跟'], 'b': ['女'], 'eng': ['b170']}","['鞋', '鞋', '鞋']",鞋
515,2018秋冬新款尖头欧美时尚百搭短靴女侧拉链粗跟高跟马丁靴女靴子h848,女装,鞋,短靴,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '尖头', '时尚', '短靴', '女侧', '拉链', '马丁靴', '靴子'], 'ns': ['欧美'], 'v': ['搭', '跟高'], 'a': ['粗'], 'p': ['跟'], 'b': ['女'], 'eng': ['h848']}","['鞋', '鞋', '鞋']",鞋
516,2018秋冬新款带绒皮靴粗跟高跟牛反绒皮中高邦女鞋毛毛马丁靴,女装,鞋,靴,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '绒', '皮靴', '牛', '绒皮', '女鞋', '马丁靴'], 'v': ['带', '跟高', '反'], 'a': ['粗'], 'p': ['跟'], 'nt': ['中高邦'], 'nr': ['毛毛']}","['鞋', '鞋', '鞋']",鞋
517,2018秋冬新款带裙子加绒加厚假两件打底裤女外穿韩版显瘦保暖裤裙【DB】f833,女装,裤子,打底裤,"{'m': ['2018', '两件'], 't': ['秋冬'], 'n': ['新款', '裙子', '假', '打底裤', '版', '保暖裤', '裙'], 'v': ['带', '穿'], 'nr': ['加绒', '加厚'], 'b': ['女'], 'f': ['外'], 'j': ['韩'], 'a': ['显瘦', 'DB'], 'eng': ['f833']}","['裙子', '裤子', '裤子', '裙子']",裤子
518,2018秋冬新款打底衫加绒加厚立领修身保暖长袖女小衫,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '打底衫', '修身', '长袖', '小衫'], 'nr': ['加绒', '加厚'], 'v': ['立领', '保暖'], 'b': ['女']}","['上衣', '其它', '上衣']",上衣
519,2018秋冬新款打底裤女加绒加厚外穿大码小脚裤高腰显瘦长裤光泽裤,女装,裤子,小脚裤,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '打底裤', '女加绒', '大码', '小脚裤', '腰', '长裤', '光泽裤'], 'nr': ['加厚'], 'f': ['外'], 'v': ['穿'], 'a': ['高', '显瘦']}","['裤子', '裤子', '裤子', '裤子']",裤子
520,2018秋冬新款提花宽松针织连衣裙女中长款过膝打底毛衣裙子,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '针织', '连衣裙', '中长款', '打底', '毛衣', '裙子'], 'v': ['提花', '过膝'], 'a': ['宽松'], 'b': ['女']}","['连衣裙', '其它', '上衣', '裙子']",裙子
521,2018秋冬新款撞色格子收腰修身针织连衣裙中长款过膝毛衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '格子', '修身', '针织', '连衣裙', '衣裙'], 'v': ['撞', '收腰', '过膝'], 'ng': ['色'], 'j': ['中长款'], 'nr': ['毛']}",['连衣裙'],连衣裙
522,2018秋冬新款时尚休闲开衫中长款上衣外套加绒加厚连帽宽松卫衣女,女装,上衣,开衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '时尚', '开衫', '上衣', '外套', '连帽', '卫衣'], 'v': ['休闲'], 'j': ['中长款'], 'nr': ['加绒', '加厚'], 'a': ['宽松'], 'b': ['女']}","['上衣', '上衣', '外套', '上衣']",上衣
523,2018秋冬新款时尚保暖黑色加绒加厚小脚铅笔裤,女装,裤子,铅笔裤,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '时尚', '黑色', '小脚', '铅笔裤'], 'v': ['保暖'], 'nr': ['加绒', '加厚']}","['裤子', '裤子']",裤子
524,2018秋冬新款时尚百搭蝴蝶结保暖冬季小衫长袖打底衫加绒加厚上衣,女装,上衣,打底衫,"{'m': ['2018', '百'], 't': ['秋冬', '冬季'], 'n': ['新款', '时尚', '蝴蝶结', '小衫', '长袖', '打底衫', '上衣'], 'v': ['搭', '保暖'], 'nr': ['加绒', '加厚']}","['上衣', '其它', '上衣', '上衣']",上衣
525,2018秋冬新款时尚韩版修身显瘦有女人味的打底连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '时尚', '修身', '女人味', '打底', '连衣裙'], 'nt': ['韩版'], 'a': ['显瘦'], 'v': ['有'], 'uj': ['的']}","['其它', '连衣裙']",连衣裙
526,2018秋冬新款棉衣女士棉马甲韩版时尚短款大码修身连帽棉坎肩f159,女装,外套,棉衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '棉衣', '女士', '棉', '马甲', '时尚', '大码', '修身', '连帽', '棉', '坎肩'], 'nt': ['韩版'], 'b': ['短款'], 'eng': ['f159']}","['外套', '外套']",外套
527,2018秋冬新款棉衣女士棉马甲韩版时尚短款大码修身连帽棉坎肩h303,女装,外套,棉衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '棉衣', '女士', '棉', '马甲', '时尚', '大码', '修身', '连帽', '棉', '坎肩'], 'nt': ['韩版'], 'b': ['短款'], 'eng': ['h303']}","['外套', '外套']",外套
528,2018秋冬新款棉裤加绒加厚保暖大码运动裤舒适绒毛女长裤哈伦裤d183,女装,裤子,哈伦裤,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '棉裤', '大码', '运动裤', '绒毛', '长裤', '哈伦裤'], 'nr': ['加绒', '加厚'], 'v': ['保暖'], 'a': ['舒适'], 'b': ['女'], 'eng': ['d183']}","['裤子', '裤子']",裤子
529,2018秋冬新款棉鞋ins风鞋子韩版百搭鞋女网红小白鞋WLZF-3,女装,鞋,鞋,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '棉鞋', '风', '鞋子', '版', '鞋', '女网', '鞋'], 'eng': ['ins', 'WLZF3'], 'j': ['韩'], 'v': ['搭'], 'nr': ['红小白']}","['鞋', '鞋', '鞋', '鞋']",鞋
530,2018秋冬新款欧美时尚潮皮带扣侧拉链中筒女皮靴子大码女马丁靴子,女装,鞋,靴,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '时尚', '潮', '皮带扣', '拉链', '中筒', '女', '大码', '女', '靴子'], 'ns': ['欧美'], 'v': ['侧'], 'i': ['皮靴子'], 'nr': ['马丁']}",['鞋'],鞋
531,2018秋冬新款欧美蕾丝镂空过膝长靴粗跟高跟防水台女靴显瘦女靴子,女装,鞋,长靴,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '蕾丝', '长靴', '女靴', '女', '靴子'], 'ns': ['欧美'], 'vn': ['镂空'], 'v': ['过膝', '跟高', '防水'], 'a': ['粗', '显瘦'], 'p': ['跟'], 'q': ['台']}","['鞋', '鞋', '鞋']",鞋
532,2018秋冬新款毛呢弹力开叉包臀半身裙,女装,裙子,半身裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '毛呢', '弹力', '半身裙'], 'v': ['开叉', '包'], 'ng': ['臀']}",['裙子'],裙子
533,2018秋冬新款毛毛粗跟短靴女韩版方头Pu面经典裸靴百搭防滑马丁靴,女装,鞋,短靴,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '短靴', '版', '方头', '面', '经典', '马丁靴'], 'nr': ['毛毛'], 'a': ['粗'], 'p': ['跟'], 'b': ['女'], 'j': ['韩'], 'eng': ['Pu'], 'ag': ['裸'], 'ng': ['靴'], 'v': ['搭', '防滑']}","['鞋', '鞋', '鞋']",鞋
534,2018秋冬新款毛毛鞋豆豆鞋加绒保暖绒面狐狸头休闲中口百搭女鞋WLDF-4,女装,鞋,豆豆鞋,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '鞋', '豆豆鞋', '绒面', '狐狸', '头', '女鞋'], 'nr': ['毛毛', '加绒'], 'v': ['保暖', '休闲', '搭'], 'ns': ['中口'], 'eng': ['WLDF4']}","['鞋', '鞋', '鞋']",鞋
535,2018秋冬新款民族风立领盘扣加长款薄棉大衣外套,女装,外套,大衣,"{'m': ['2018', '款'], 't': ['秋冬'], 'n': ['新款', '外套'], 'nz': ['民族风', '棉大衣'], 'v': ['立领', '扣', '加长'], 'q': ['盘'], 'a': ['薄']}",['外套'],外套
536,2018秋冬新款民族风立领盘扣加长款薄棉大衣外套f779,女装,外套,大衣,"{'m': ['2018', '款'], 't': ['秋冬'], 'n': ['新款', '外套'], 'nz': ['民族风', '棉大衣'], 'v': ['立领', '扣', '加长'], 'q': ['盘'], 'a': ['薄'], 'eng': ['f779']}",['外套'],外套
537,2018秋冬新款气质女装宽松显瘦韩版针织衫中长款打底衫毛衣裙f656,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '气质', '女装', '版', '针织衫', '打底衫', '衣裙'], 'a': ['宽松', '显瘦'], 'j': ['韩', '中长款'], 'nr': ['毛'], 'eng': ['f656']}","['上衣', '上衣']",上衣
538,2018秋冬新款百搭绒面马丁靴女欧美平底圆头防滑女靴加绒短靴子女,女装,鞋,短靴,"{'m': ['2018', '百'], 't': ['秋冬', '平底'], 'n': ['新款', '绒面', '马丁靴', '圆头', '加绒', '短靴', '子女'], 'v': ['搭', '防滑'], 'b': ['女'], 'ns': ['欧美'], 'nz': ['女靴']}","['鞋', '鞋', '鞋']",鞋
539,2018秋冬新款礼服气质灯笼袖假两件罩衫拼接包臀连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018', '两件'], 't': ['秋冬'], 'n': ['新款', '礼服', '气质', '灯笼', '袖假', '罩衫', '连衣裙'], 'v': ['拼接', '包'], 'ng': ['臀']}","['连衣裙', '连衣裙']",连衣裙
540,2018秋冬新款绣花短款保暖棉服加厚韩版新款,女装,外套,棉服,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '绣花', '棉服', '新款'], 'b': ['短款'], 'v': ['保暖'], 'nr': ['加厚'], 'nt': ['韩版']}",['外套'],外套
541,2018秋冬新款绣花短款保暖棉服加厚韩版新款g907,女装,外套,棉服,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '绣花', '棉服', '新款'], 'b': ['短款'], 'v': ['保暖'], 'nr': ['加厚'], 'nt': ['韩版'], 'eng': ['g907']}",['外套'],外套
542,2018秋冬新款蕾丝镂空钉珠打底衫女长袖加绒加厚显瘦上衣保暖小衫,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '蕾丝', '钉珠', '打底衫', '长袖', '上衣', '小衫'], 'vn': ['镂空'], 'b': ['女'], 'nr': ['加绒', '加厚'], 'a': ['显瘦'], 'v': ['保暖']}","['上衣', '其它', '上衣', '上衣']",上衣
543,2018秋冬新款蕾丝雪纺拼接金丝绒连衣裙修身中长款小黑裙礼服裙女,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '蕾丝', '连衣裙', '修身', '礼服', '裙女'], 'nz': ['雪纺'], 'v': ['拼接'], 'nr': ['金丝绒', '小黑裙'], 'j': ['中长款']}","['连衣裙', '连衣裙']",连衣裙
544,2018秋冬新款透气运动鞋女ins超火的鞋子小白鞋,女装,鞋,运动鞋,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '透气', '运动鞋', '女', '鞋子', '白鞋'], 'eng': ['ins'], 'v': ['超火'], 'uj': ['的'], 'a': ['小']}","['鞋', '鞋']",鞋
545,2018秋冬新款透气运动鞋女ins超火的鞋子小白鞋h786,女装,鞋,运动鞋,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '透气', '运动鞋', '女', '鞋子', '白鞋'], 'eng': ['ins', 'h786'], 'v': ['超火'], 'uj': ['的'], 'a': ['小']}","['鞋', '鞋']",鞋
546,2018秋冬新款针织衫女短款套头毛衣修身纯色娃娃领打底衫,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '针织衫', '套头毛衣', '修身', '纯色', '娃娃', '打底衫'], 'b': ['女', '短款'], 'v': ['领']}","['上衣', '上衣', '上衣']",上衣
547,2018秋冬新款针织连衣裙显瘦包臀鱼尾蕾丝打底裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '针织', '连衣裙', '鱼尾', '蕾丝', '打底裙'], 'a': ['显瘦'], 'v': ['包'], 'ng': ['臀']}","['连衣裙', '连衣裙']",连衣裙
548,2018秋冬新款针织镂空性感显瘦打底衫,女装,上衣,打底衫,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '针织', '性感', '打底衫'], 'vn': ['镂空'], 'a': ['显瘦']}",['上衣'],上衣
549,2018秋冬新款镂空中裙修身显瘦长袖A字裙气质淑女 蕾丝连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '中裙', '修身', '长袖', 'A字裙', '气质', '淑女', '蕾丝', '连衣裙'], 'vn': ['镂空'], 'a': ['显瘦']}","['其它', '裙子', '连衣裙']",连衣裙
550,2018秋冬新款阔太太高贵针织连衣裙中长款过膝打底毛衣裙子,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '太太', '针织', '连衣裙', '打底', '毛衣', '裙子'], 'a': ['阔', '高贵'], 'j': ['中长款'], 'v': ['过膝']}","['连衣裙', '其它', '上衣', '裙子']",裙子
551,2018秋冬新款雪地靴毛毛翻边短靴女厚底保暖休闲女靴子a130,女装,鞋,短靴,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '雪地', '靴', '短靴', '厚底', '靴子'], 'nr': ['毛毛'], 'v': ['翻', '保暖', '休闲'], 'd': ['边'], 'b': ['女', '女'], 'eng': ['a130']}","['鞋', '鞋', '鞋']",鞋
552,2018秋冬新款韩版bf风宽松加绒ins超火长袖连帽卫衣,女装,上衣,卫衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '风', '长袖', '连帽', '卫衣'], 'nt': ['韩版'], 'eng': ['bf', 'ins'], 'a': ['宽松'], 'nr': ['加绒'], 'v': ['超火']}","['其它', '上衣']",上衣
553,2018秋冬新款韩版中长款套头毛衣女百搭长袖半高领宽松针织打底衫【DB】f912,女装,上衣,打底衫,"{'m': ['2018', '半'], 't': ['秋冬'], 'n': ['新款', '版', '长款', '套头毛衣', '长袖', '高领', '针织', '打底衫'], 'j': ['韩'], 'f': ['中'], 'nz': ['女百'], 'v': ['搭'], 'a': ['宽松', 'DB'], 'eng': ['f912']}","['上衣', '其它', '上衣']",上衣
554,2018秋冬新款韩版半高领套头毛衣女中长款长袖针织毛衣裙A105,女装,上衣,毛衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '高领', '套头毛衣', '中长款', '长袖', '针织', '衣裙'], 'ns': ['韩版半'], 'b': ['女'], 'nr': ['毛'], 'eng': ['A105']}","['上衣', '其它']",其它
555,2018秋冬新款韩版女士显瘦宽松中长款加绒加厚PU皮衣外套女装风衣,女装,外套,风衣,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '女士', '加绒', '皮衣', '外套', '女装', '风衣'], 'nt': ['韩版'], 'a': ['显瘦', '宽松'], 'j': ['中长款'], 'nr': ['加厚'], 'eng': ['PU']}","['外套', '外套', '外套']",外套
556,2018秋冬新款韩版弹力厚底毛线靴子女短靴系带英伦风马丁靴女秋季,女装,鞋,短靴,"{'m': ['2018'], 't': ['秋冬', '秋季'], 'n': ['新款', '弹力', '厚底', '毛线', '靴子', '短靴', '系带', '风', '马丁靴'], 'nt': ['韩版'], 'b': ['女', '女'], 'ns': ['英伦']}","['鞋', '鞋', '鞋']",鞋
557,2018秋冬新款韩版无袖大码女装背心裙子遮肚子藏肉胖mm连衣裙洋气【DM】,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '无袖', '大码', '女装', '背心', '裙子', '肚子', '肉', '胖', '连衣裙', '洋气'], 'nt': ['韩版'], 'v': ['遮'], 'j': ['藏'], 'eng': ['mm'], 'ad': ['DM']}","['日用', '裙子', '连衣裙']",连衣裙
558,2018秋冬新款韩版时尚气质收腰毛呢针织两件套连衣裙f650,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['秋冬'], 'n': ['新款', '时尚', '气质', '毛呢', '针织', '两件套', '连衣裙'], 'nt': ['韩版'], 'v': ['收腰'], 'eng': ['f650']}","['套装', '连衣裙']",连衣裙
559,2018秋冬新款韩版显瘦百搭纯色短款棉马甲女减龄口袋秋款马夹外套g531,女装,外套,外套,"{'m': ['2018', '百'], 't': ['秋冬'], 'n': ['新款', '版', '纯色', '棉', '马甲', '减龄', '口袋', '秋款', '马', '外套'], 'j': ['韩'], 'a': ['显瘦'], 'v': ['搭', '夹'], 'b': ['短款', '女'], 'eng': ['g531']}","['外套', '外套']",外套
