,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果,特征
1023,2019春季假两件印花衬衫韩版胖mm新款领遮肚子显瘦上衣女,女装,上衣,衬衫,"{'m': ['2019', '两件'], 't': ['春季'], 'n': ['假', '印花', '衬衫', '版', '胖', '新款', '肚子', '上衣'], 'j': ['韩'], 'eng': ['mm'], 'v': ['领', '遮'], 'a': ['显瘦'], 'b': ['女']}",[],,韩版mm显瘦
1024,2019春季单鞋平底鞋女浅口平跟鞋女鞋h461,女装,鞋,平底鞋,"{'m': ['2019'], 't': ['春季'], 'n': ['单鞋', '平底鞋', '浅口平', '鞋', '女鞋'], 'b': ['女'], 'p': ['跟'], 'eng': ['h461']}",[],,单鞋平底鞋女浅口平
1025,2019春季女格子衬衫女长袖收腰显瘦套头v领衬衣时尚百搭上衣,女装,上衣,衬衫,"{'m': ['2019', '百'], 't': ['春季'], 'b': ['女', '女'], 'n': ['格子', '衬衫', '长袖', '套头', '领', '衬衣', '时尚', '上衣'], 'v': ['收腰', '搭'], 'a': ['显瘦'], 'eng': ['v']}",[],,收腰显瘦套头
1026,2019春季平底百搭豆豆鞋hh,女装,鞋,豆豆鞋,"{'m': ['2019', '百'], 't': ['春季', '平底'], 'v': ['搭'], 'n': ['豆豆', '鞋'], 'eng': ['hh']}",[],,百搭hh平底
1027,2019春季新品A版收腰连衣裙时尚百搭潮流新款气质女性BMDF-3【DM】,女装,连衣裙,连衣裙,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新品', '版', '时尚', '潮流', '新款', '气质', '女性'], 'eng': ['A', 'BMDF3DM'], 'v': ['收腰', '搭'], 'nr': ['连衣裙']}",[],,版收百搭BMDFDM
1028,2019春季新品大码女装丝绒镂空拼接蕾丝打底衫长袖百搭女外穿上衣,女装,上衣,打底衫,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新品', '大码', '女装', '丝绒', '蕾丝', '长袖', '上衣'], 'vn': ['镂空'], 'v': ['拼接', '打底', '搭', '穿'], 'ng': ['衫'], 'b': ['女'], 'f': ['外']}",[],,大码蕾丝百搭
1029,2019春季新品开叉绑带豹纹半身裙中长款OL包臀裙百搭a字裙BMDF-6,女装,裙子,半身裙,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新品', '绑带', '豹纹', '半身裙', '字'], 'v': ['开叉', '包', '搭'], 'j': ['中长款'], 'eng': ['OL', 'a', 'BMDF6'], 'ng': ['臀', '裙', '裙']}",[],,开叉绑带半身裙
1030,2019春季新品正反两面穿莫代尔背心,女装,日用,背心,"{'m': ['2019'], 't': ['春季'], 'n': ['新品', '背心'], 'i': ['正反两面'], 'zg': ['穿'], 'nr': ['莫代尔']}",[],,莫代尔正反两面新品
1031,2019春季新品毛衣圆领长袖套头打底衫韩版镂空薄款针织上衣,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新品', '毛衣', '圆领', '长袖', '套头', '版', '薄款', '针织', '上衣'], 'v': ['打底'], 'ng': ['衫'], 'j': ['韩'], 'vn': ['镂空']}",[],,套头韩版薄款
1032,2019春季新品毛衣圆领长袖套头打底衫韩版镂空薄款针织上衣h185,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新品', '毛衣', '圆领', '长袖', '套头', '版', '薄款', '针织', '上衣'], 'v': ['打底'], 'ng': ['衫'], 'j': ['韩'], 'vn': ['镂空'], 'eng': ['h185']}",[],,套头韩版薄款
1033,2019春季新款 欧洲站大码女装 宽松显瘦立领长袖打底中长款连衣裙【DB】f469,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '女装', '长袖'], 'ns': ['欧洲'], 'v': ['站', '立领', '打底'], 'a': ['宽松', '显瘦'], 'j': ['中长款'], 'nr': ['连衣裙'], 'eng': ['DBf469']}",[],,立领大码显瘦
1034,2019春季新款 欧美大码女装 时尚气质修身显瘦淑女收腰格子连衣裙,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '女装', '时尚', '气质', '淑女', '格子'], 'ns': ['欧美'], 'v': ['修身', '收腰'], 'a': ['显瘦'], 'nr': ['连衣裙']}",[],,大码显瘦收腰
1035,2019春季新款 欧美大码女装 灯笼袖木耳边半高领拼接假两件连衣裙【DB】,女装,连衣裙,连衣裙,"{'m': ['2019', '半', '两件'], 't': ['春季'], 'n': ['新款', '大码', '女装', '灯笼', '袖木', '高领', '假'], 'ns': ['欧美'], 's': ['耳边'], 'v': ['拼接'], 'nr': ['连衣裙'], 'eng': ['DB']}",[],,大码袖木DB
1036,2019春季新款 欧美女装 收腰显瘦 中长款圆领长袖格子连衣裙女【DB】f682,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '女装', '中长款', '圆领', '长袖', '格子', '女'], 'ns': ['欧美'], 'v': ['收腰'], 'a': ['显瘦'], 'nr': ['连衣裙'], 'eng': ['DBf682']}",[],,收腰显瘦中长款
1037,2019春季新款bf嘻哈套装两件套装女休闲裤套装 【DB】,女装,套装,套装,"{'m': ['2019', '两件'], 't': ['春季'], 'n': ['新款', '套装', '套装', '休闲裤', '套装'], 'eng': ['bf', 'DB'], 'o': ['嘻', '哈'], 'b': ['女']}",[],,套装bf嘻哈
1038,2019春季新款V领仿羊绒针织开衫女纽扣纯色口袋外套毛衣甜美女装,女装,上衣,开衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '领', '针织', '开衫', '纽扣', '纯色', '口袋', '外套', '毛衣', '女装'], 'eng': ['V'], 'nz': ['仿羊绒'], 'b': ['女'], 'a': ['甜美']}",[],,开衫仿羊绒纯色
1039,2019春季新款V领系带收腰显瘦气质蕾丝喇叭长袖连衣裙【DB】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '领', '系带', '气质', '蕾丝', '喇叭', '长袖'], 'eng': ['V', 'DB'], 'v': ['收腰'], 'a': ['显瘦'], 'nr': ['连衣裙']}",[],,收腰显瘦蕾丝
1040,2019春季新款V领系带收腰显瘦气质蕾丝喇叭长袖连衣裙【DB】h627,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '领', '系带', '气质', '蕾丝', '喇叭', '长袖'], 'eng': ['V', 'DBh627'], 'v': ['收腰'], 'a': ['显瘦'], 'nr': ['连衣裙']}",[],,收腰显瘦蕾丝
1041,2019春季新款v领蕾丝衫韩范显瘦气质荷叶袖洋气小衫打底衫,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '领', '蕾丝', '气质', '荷叶', '袖', '洋气'], 'eng': ['v'], 'ng': ['衫', '衫'], 'nr': ['韩范', '小衫'], 'a': ['显瘦'], 'v': ['打底']}",[],,蕾丝韩范显小衫
1042,2019春季新款V领针织提花长袖连衣裙气质修身显瘦打底长裙大码【DB】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '领', '针织', '长袖', '气质', '长裙', '大码'], 'eng': ['V', 'DB'], 'v': ['提花', '修身', '打底'], 'nr': ['连衣裙'], 'a': ['显瘦']}",[],,显瘦大码DB
1043,2019春季新款V领针织提花长袖连衣裙气质修身显瘦打底长裙大码【DB】h920,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '领', '针织', '长袖', '气质', '长裙', '大码'], 'eng': ['V', 'DBh920'], 'v': ['提花', '修身', '打底'], 'nr': ['连衣裙'], 'a': ['显瘦']}",[],,显瘦大码DBh
1044,2019春季新款一字肩网纱仿珍珠装饰连衣裙【DB】,女装,连衣裙,连衣裙,"{'m': ['2019', '一'], 't': ['春季'], 'n': ['新款', '字', '肩', '网纱', '珍珠', '装饰'], 'd': ['仿'], 'nr': ['连衣裙'], 'eng': ['DB']}",[],,网纱仿DB连衣裙
1045,2019春季新款七分袖韩版休闲百搭刺绣衬衫,女装,上衣,衬衫,"{'m': ['2019', '七分', '百'], 't': ['春季'], 'n': ['新款', '版', '刺绣', '衬衫'], 'v': ['袖', '休闲', '搭'], 'j': ['韩']}",[],,韩版百搭七分
1046,2019春季新款上衣V领百搭荷叶边小衫修身大码纯色打底衫,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '上衣', '领百搭', '荷叶', '大码', '纯色'], 'eng': ['V'], 'nr': ['边小衫'], 'v': ['修身', '打底'], 'ng': ['衫']}",[],,领百搭边小衫大码
1047,2019春季新款上衣原创大码宽松网纱拼接V领T恤打底衫胖MM女装【DB】【DM】z256,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '上衣', '原创', '大码', '网纱', '领', 'T恤', '胖', '女装'], 'a': ['宽松'], 'v': ['拼接', '打底'], 'eng': ['V', 'MM', 'DBDMz256'], 'ng': ['衫']}",[],,大码网纱T恤
1048,2019春季新款上衣百搭韩版印花衬衣修身豹纹休闲职业衬衫,女装,上衣,衬衫,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新款', '上衣', '版', '印花', '衬衣', '豹纹', '职业', '衬衫'], 'v': ['搭', '修身', '休闲'], 'j': ['韩']}",[],,百搭韩版豹纹
1049,2019春季新款上衣纯色百搭休闲衬衫大码白色职业装衬衣【DB】,女装,上衣,衬衫,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新款', '上衣', '纯色', '衬衫', '大码', '白色', '职业装', '衬衣'], 'v': ['搭', '休闲'], 'eng': ['DB']}",[],,职业装百搭大码
1050,2019春季新款上衣韩版百搭修身衬衣绸缎真丝职业装衬衫潮流-BMDF,女装,上衣,衬衫,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新款', '上衣', '版', '衬衣', '绸缎', '真丝', '职业装', '衬衫', '潮流'], 'j': ['韩'], 'v': ['搭', '修身'], 'eng': ['BMDF']}",[],,职业装韩版百BMDF
1051,2019春季新款丝绒年会礼服V领鱼尾长款连衣裙女,女装,连衣裙,连衣裙,"{'m': ['2019', '年'], 't': ['春季'], 'n': ['新款', '丝绒', '礼服', '领', '鱼尾', '长款'], 'v': ['会'], 'eng': ['V'], 'nr': ['连衣裙'], 'b': ['女']}",[],,长款丝绒鱼尾
1052,2019春季新款中长款港味大码宽松显瘦上衣【DM】,女装,上衣,上衣,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '港味', '大码', '上衣'], 'j': ['中长款'], 'a': ['宽松', '显瘦'], 'eng': ['DM']}",[],,中长款港味大码显瘦
1053,2019春季新款中长款遮肚子粗腰大码女装宽松休闲豹纹雪纺连衣裙潮【DM】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '肚子', '腰', '大码', '女装', '豹纹', '潮'], 'j': ['中长款'], 'v': ['遮', '休闲'], 'a': ['粗', '宽松'], 'nz': ['雪纺'], 'nr': ['连衣裙'], 'eng': ['DM']}",[],,中长款粗腰大码
1054,2019春季新款中长款遮肚子粗腰大码女装宽松休闲豹纹雪纺连衣裙潮【DM】h656,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '肚子', '腰', '大码', '女装', '豹纹', '潮'], 'j': ['中长款'], 'v': ['遮', '休闲'], 'a': ['粗', '宽松'], 'nz': ['雪纺'], 'nr': ['连衣裙'], 'eng': ['DMh656']}",[],,中长款粗腰大码
1055,2019春季新款修身职业上衣链条印花衬衫【DB】f633,女装,上衣,衬衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '职业', '上衣', '链条', '印花', '衬衫'], 'v': ['修身'], 'eng': ['DBf633']}",[],,DBf修身印花
1056,2019春季新款半高领蕾丝上衣气质长袖小立领打底衫,女装,上衣,打底衫,"{'m': ['2019', '半'], 't': ['春季'], 'n': ['新款', '高领', '蕾丝', '上衣', '气质', '长袖'], 'a': ['小'], 'v': ['立领', '打底'], 'ng': ['衫']}",[],,立领蕾丝高领
1057,2019春季新款半高领蕾丝上衣气质长袖小立领打底衫h623,女装,上衣,打底衫,"{'m': ['2019', '半'], 't': ['春季'], 'n': ['新款', '高领', '蕾丝', '上衣', '气质', '长袖'], 'a': ['小'], 'v': ['立领', '打底'], 'ng': ['衫'], 'eng': ['h623']}",[],,立领蕾丝高领
1058,2019春季新款印花弹力长袖T恤纱网打底衫春大码女装【DB】hd105,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '印花', '弹力', '长袖', 'T恤', '纱网', '大码', '女装'], 'v': ['打底'], 'ng': ['衫'], 'tg': ['春'], 'eng': ['DBhd105']}",[],,T恤纱网春大码
1059,2019春季新款印花拼接修身气质连衣裙韩版藏肉显瘦打底裙-BMDF【DM】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '印花', '气质', '肉', '裙'], 'v': ['拼接', '修身', '打底'], 'nr': ['连衣裙'], 'ns': ['韩版藏'], 'a': ['显瘦'], 'eng': ['BMDFDM']}",[],,韩版藏肉显瘦BMDFDM
1060,2019春季新款印花拼接修身气质连衣裙韩版藏肉显瘦打底裙【DM】【DB】h877,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '印花', '气质', '肉', '裙'], 'v': ['拼接', '修身', '打底'], 'nr': ['连衣裙'], 'ns': ['韩版藏'], 'a': ['显瘦'], 'eng': ['DMDBh877']}",[],,韩版藏肉显瘦DMDBh
1061,2019春季新款圆点针织衫女外套中长款韩版宽松排扣开衫毛衣【DB】h855,女装,上衣,开衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '圆点', '针织衫', '外套', '版', '开衫', '毛衣'], 'b': ['女'], 'j': ['中长款', '韩'], 'a': ['宽松'], 'v': ['排扣'], 'eng': ['DBh855']}",[],,开衫针织衫中长款
1062,2019春季新款复古印花棉麻连衣裙 大码显瘦宽松棉麻长裙女,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '印花', '棉麻', '大码', '棉麻', '长裙'], 'vn': ['复古'], 'nr': ['连衣裙'], 'a': ['显瘦', '宽松'], 'b': ['女']}",[],,棉麻大码显瘦
1063,2019春季新款复古高腰牛仔裤开叉喇叭裤微喇裤九分七分裤,女装,裤子,牛仔裤,"{'m': ['2019', '九分'], 't': ['春季'], 'n': ['新款', '腰', '牛仔裤', '喇叭裤', '喇裤', '七分裤'], 'vn': ['复古'], 'a': ['高', '微'], 'v': ['开叉']}",[],,开叉喇叭裤高腰
1064,2019春季新款大码女装圆点连衣裙系带V领修身大摆裙【DM】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '女装', '圆点', '系带', '领'], 'nr': ['连衣裙'], 'eng': ['V', 'DM'], 'v': ['修身', '摆'], 'a': ['大'], 'ng': ['裙']}",[],,大码大摆裙DM
1065,2019春季新款大码女装妈妈装中长款长袖雪纺衫遮肚显瘦宽松小衫【DM】h568,女装,上衣,雪纺衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '女装', '妈妈', '长款', '长袖'], 'v': ['装中', '遮肚'], 'nz': ['雪纺衫'], 'a': ['显瘦', '宽松'], 'nr': ['小衫'], 'eng': ['DMh568']}",[],,大码装中长款
1066,2019春季新款大码女装胖MM宽松时尚套装长袖两件套套装【DB】【DM】h815,女装,套装,套装,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '女装', '胖', '时尚', '套装', '长袖', '套装'], 'eng': ['MM', 'DBDMh815'], 'a': ['宽松'], 'l': ['两件套']}",[],,套装大码MM
1067,2019春季新款大码女装胖mm遮肚子藏肉刺绣显瘦灯笼袖连衣裙【DM】i049,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '女装', '胖', '肚子', '肉', '刺绣', '灯笼', '袖'], 'eng': ['mm', 'DMi049'], 'v': ['遮'], 'j': ['藏'], 'a': ['显瘦'], 'nr': ['连衣裙']}",[],,大码mm藏肉
1068,2019春季新款大码女装金丝绒烫钻时尚宽松显瘦连衣裙【DB】【DM】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '女装', '时尚'], 'nr': ['金丝绒', '连衣裙'], 'v': ['烫', '钻'], 'a': ['宽松', '显瘦'], 'eng': ['DBDM']}",[],,金丝绒大码显瘦
1069,2019春季新款大码荷叶领拼接遮肚子连衣裙洋气连衣裙【DM】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '荷叶', '肚子', '洋气'], 'v': ['领', '拼接', '遮'], 'nr': ['连衣裙', '连衣裙'], 'eng': ['DM']}",[],,连衣裙大码DM
1070,2019春季新款大码高贵洋气贵夫人针织提花七分袖大摆过膝连衣裙,女装,连衣裙,连衣裙,"{'m': ['2019', '七分'], 't': ['春季'], 'n': ['新款', '大码', '洋气', '夫人', '针织'], 'a': ['高贵', '贵'], 'v': ['提花', '摆', '过膝'], 'b': ['袖大'], 'nr': ['连衣裙']}",[],,大码袖大过膝
1071,2019春季新款女 韩版短款针织开衫休闲慵懒毛衣外套,女装,上衣,开衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '版', '针织', '开衫', '毛衣', '外套'], 'b': ['女', '短款'], 'j': ['韩'], 'v': ['休闲'], 'a': ['慵懒']}",[],,开衫短款韩版
1072,2019春季新款女 韩版短款针织开衫休闲慵懒毛衣外套h591,女装,上衣,开衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '版', '针织', '开衫', '毛衣', '外套'], 'b': ['女', '短款'], 'j': ['韩'], 'v': ['休闲'], 'a': ['慵懒'], 'eng': ['h591']}",[],,开衫短款韩版
1073,2019春季新款女式风衣秋装韩版修身中长薄外套女装气质收腰上衣潮,女装,外套,风衣,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '女式', '风衣', '秋装', '中长', '外套', '女装', '气质', '上衣', '潮'], 'nt': ['韩版'], 'v': ['修身', '收腰'], 'a': ['薄']}",[],,秋装韩版收腰
1074,2019春季新款女装时尚俏皮小清新套装职业女神气质港味两件套女,女装,套装,套装,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '女装', '时尚', '套装', '职业', '女神', '气质', '港味'], 'a': ['俏皮', '小', '清新'], 'l': ['两件套'], 'b': ['女']}",[],,港味两件套女装
1075,2019春季新款女装时尚秋季蝴蝶结衬衫女韩范学院风长袖喇叭袖上衣hd107,女装,上衣,衬衫,"{'m': ['2019'], 't': ['春季', '秋季'], 'n': ['新款', '女装', '时尚', '蝴蝶结', '衬衫', '范', '学院', '风', '长袖', '喇叭', '袖', '上衣'], 'b': ['女'], 'j': ['韩'], 'eng': ['hd107']}",[],,韩范hd蝴蝶结
1076,2019春季新款女装韩版时尚衣服社会港味碎花阔腿裤软妹两件套装潮,女装,裤子,阔腿裤,"{'m': ['2019', '两件'], 't': ['春季'], 'n': ['新款', '女装', '时尚', '衣服', '社会', '港味', '碎花', '腿', '软妹', '套装', '潮'], 'nt': ['韩版'], 'a': ['阔'], 'ng': ['裤']}",[],,韩版港味阔腿裤
1077,2019春季新款女鞋PU韩版休闲鞋软底妈妈鞋,女装,鞋,休闲鞋,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '女鞋', '软底', '妈妈', '鞋'], 'eng': ['PU'], 'nt': ['韩版'], 'i': ['休闲鞋']}",[],,休闲鞋PU韩版
1078,2019春季新款女鞋时尚亮钻丁字鞋高跟细跟夜店鞋,女装,鞋,鞋,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '女鞋', '时尚', '鞋', '店', '鞋'], 'v': ['亮', '钻'], 'nr': ['丁字'], 'a': ['高', '细'], 'p': ['跟', '跟'], 'tg': ['夜']}",[],,鞋高夜店女鞋
1079,2019春季新款学生阔腿裤牛仔裤女宽松直筒裤子f973,女装,裤子,阔腿裤,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '学生', '腿', '牛仔裤', '直筒', '裤子'], 'a': ['阔', '宽松'], 'ng': ['裤'], 'b': ['女'], 'eng': ['f973']}",[],,阔腿裤直筒牛仔裤
1080,2019春季新款宽松提花大码绣花民族风刺绣中长款棉麻连衣裙【DB】h865,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '绣花', '民族', '风', '刺绣', '棉麻'], 'a': ['宽松'], 'v': ['提花'], 'j': ['中长款'], 'nr': ['连衣裙'], 'eng': ['DBh865']}",[],,大码中长款DBh
1081,2019春季新款小碎花气质圆领连衣裙显瘦收腰裙子加肥加大码【DM】,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '碎花', '气质', '圆领', '裙子', '码'], 'a': ['小', '显瘦'], 'nr': ['连衣裙'], 'v': ['收腰', '加大'], 'ns': ['加肥'], 'eng': ['DM']}",[],,显瘦收腰加肥
1082,2019春季新款小衫百搭修身大码衬衣纯色衬衫女,女装,上衣,衬衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '大码', '衬衣', '纯色', '衬衫'], 'nr': ['小衫百'], 'v': ['搭', '修身'], 'b': ['女']}",[],,小衫百搭大码
1083,2019春季新款小鸟刺绣九分袖上衣经典条纹阔腿裤套装【DM】,女装,裤子,阔腿裤,"{'m': ['2019', '九分'], 't': ['春季'], 'n': ['新款', '小鸟', '刺绣', '袖', '上衣', '经典', '条纹', '腿', '套装'], 'a': ['阔'], 'ng': ['裤'], 'eng': ['DM']}",[],,阔腿裤DM九分
1084,2019春季新款拼接假两件法国小众连衣裙女复古收腰,女装,连衣裙,连衣裙,"{'m': ['2019', '两件'], 't': ['春季'], 'n': ['新款', '假'], 'v': ['拼接', '收腰'], 'ns': ['法国'], 'a': ['小'], 'ng': ['众'], 'nr': ['连衣裙'], 'b': ['女'], 'vn': ['复古']}",[],,收腰连衣裙拼接
1085,2019春季新款拼接斑马纹A字裙飘带领长袖连衣裙女,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '斑马', '字裙', '长袖'], 'v': ['拼接', '飘', '带领'], 'ng': ['纹'], 'eng': ['A'], 'nr': ['连衣裙'], 'b': ['女']}",[],,长袖斑马连衣裙
1086,2019春季新款拼接气质百搭黑色显瘦长袖衬衫女上衣,女装,上衣,衬衫,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新款', '气质', '黑色', '长袖', '衬衫', '女上衣'], 'v': ['拼接', '搭'], 'a': ['显瘦']}",[],,百搭显瘦女上衣
1087,2019春季新款文艺长袖格子中长款开衫衬衣休闲女装外套,女装,上衣,开衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '文艺', '长袖', '格子', '开衫', '衬衣', '女装', '外套'], 'j': ['中长款'], 'v': ['休闲']}",[],,开衫中长款长袖
1088,2019春季新款时尚修身显瘦格子连衣裙气质大摆雪纺长款长裙【DB】g569,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '格子', '气质', '雪', '纺长款', '长裙'], 'v': ['修身', '摆'], 'a': ['显瘦', '大'], 'nr': ['连衣裙'], 'eng': ['DBg569']}",[],,显瘦大摆雪纺长款
1089,2019春季新款时尚修身显瘦都市休闲百搭潮流两件套h139,女装,套装,两件套,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新款', '时尚', '潮流'], 'v': ['修身', '休闲', '搭'], 'a': ['显瘦'], 'ns': ['都市'], 'l': ['两件套'], 'eng': ['h139']}",[],,显瘦百搭两件套
1090,2019春季新款时尚修身气质长袖蕾丝a字连衣裙打底短裙【DB】h787,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '气质', '长袖', '蕾丝', '字', '短裙'], 'v': ['修身', '打底'], 'eng': ['a', 'DBh787'], 'nr': ['连衣裙']}",[],,蕾丝DBh打底
1091,2019春季新款时尚复古气质女装修身显瘦重工刺绣改良旗袍连衣裙女,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '气质', '女装', '刺绣', '旗袍'], 'vn': ['复古', '重工'], 'v': ['修身', '改良'], 'a': ['显瘦'], 'nr': ['连衣裙'], 'b': ['女']}",[],,显瘦女装修身
1092,2019春季新款时尚复古气质女装宽松重工刺绣中长款改良旗袍连衣裙,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '气质', '女装', '刺绣', '旗袍'], 'vn': ['复古', '重工'], 'a': ['宽松'], 'j': ['中长款'], 'v': ['改良'], 'nr': ['连衣裙']}",[],,中长款女装连衣裙
1093,2019春季新款时尚条纹拼接大码女装套装阔腿裤两件套【DM】,女装,裤子,阔腿裤,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '条纹', '大码', '女装', '套装', '腿'], 'v': ['拼接'], 'a': ['阔'], 'ng': ['裤'], 'l': ['两件套'], 'eng': ['DM']}",[],,大码阔腿裤两件套
1094,2019春季新款时尚欧美外贸女装修身显瘦荷叶边撞色拼接背带连衣裙【DB】h291,女装,连衣裙,连衣裙,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '外贸', '女装', '荷叶', '背带'], 'ns': ['欧美'], 'v': ['修身', '撞', '拼接'], 'a': ['显瘦'], 'd': ['边'], 'ng': ['色'], 'nr': ['连衣裙'], 'eng': ['DBh291']}",[],,显瘦边撞色DBh
1095,2019春季新款时尚气质印花雪纺透视喇叭袖修身上衣,女装,上衣,上衣,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '气质', '印花', '喇叭', '袖', '上衣'], 'nz': ['雪纺'], 'v': ['透视', '修身']}",[],,雪纺修身印花
1096,2019春季新款时尚气韩版女装修身显瘦蝴蝶结系带长袖雪纺衬衫打底【DB】h818,女装,上衣,衬衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '气', '版', '女装', '蝴蝶结', '系带', '长袖', '衬衫'], 'j': ['韩'], 'v': ['修身', '打底'], 'a': ['显瘦'], 'nz': ['雪纺'], 'eng': ['DBh818']}",[],,韩版显瘦雪纺
1097,2019春季新款时尚绣花衬衫女长袖显瘦百搭蝴蝶结雪纺衫上衣【DM】,女装,上衣,衬衫,"{'m': ['2019', '百'], 't': ['春季'], 'n': ['新款', '时尚', '绣花', '衬衫', '长袖', '蝴蝶结', '上衣'], 'b': ['女'], 'a': ['显瘦'], 'v': ['搭'], 'nz': ['雪纺衫'], 'eng': ['DM']}",[],,显瘦百搭雪纺衫
1098,2019春季新款时尚长袖衬衣女韩版印花豹纹小衫打底衫女潮MDF-6,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '长袖', '衬衣', '版', '印花', '豹纹', '女潮'], 'b': ['女'], 'j': ['韩'], 'nr': ['小衫'], 'v': ['打底'], 'ng': ['衫'], 'eng': ['MDF6']}",[],,韩版小衫女潮
1099,2019春季新款时尚韩版女装修身显瘦蝴蝶结系带心形雪纺衬衫打底衫h301,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '女装', '蝴蝶结', '系带', '心形', '衬衫'], 'nt': ['韩版'], 'v': ['修身', '打底'], 'a': ['显瘦'], 'nz': ['雪纺'], 'ng': ['衫'], 'eng': ['h301']}",[],,韩版显瘦雪纺
1100,2019春季新款时尚韩版女装小香风修身显瘦蝴蝶结系带蕾丝打底衫女【DB】h789,女装,上衣,打底衫,"{'m': ['2019'], 't': ['春季'], 'n': ['新款', '时尚', '女装', '香风', '蝴蝶结', '系带', '蕾丝', '女'], 'nt': ['韩版'], 'a': ['小', '显瘦'], 'v': ['修身', '打底'], 'ng': ['衫'], 'eng': ['DBh789']}",[],,韩版显瘦蕾丝
